Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)",Please give us any design ideas to make the car uniquely Singaporean.
20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Brakes,Dashboard,0,Only with professional help,0,"No, I would need a designer to model my sketch","Coffeeshop Iced Coffee Takeaway plastic drink holder (long and thin design, with a hook at the top and straw area)"
20-30,Male,Own a car,Single,Price;Aesthetics;Technological features,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Door handles,500-1000,Yes,under 500,"No, I would need a designer to model my sketch",streamline body shape
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics,Likely,Headlights,Steering wheel;Door handles,over 1000,Yes,over 1000,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Technological features;Functionality;Size;Sustainability/environment considerations,Likely,Wheels,Steering wheel;Centre compartment,over 1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Side mirrors,Steering wheel;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Very likely,Wheels;Grilles;Headlights,Steering wheel;Centre compartment,500-1000,Yes,500-1000,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Sustainability/environment considerations,Very likely,Grilles;Bumpers;doors,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own", micro-small car 2 sitter
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Aesthetics;Functionality;Size,Likely,Grilles;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"Yes, I can design on my own",
20-30,Prefer not to say,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality,Very likely,Headlights,Dashboard,0,Only with professional help,under 500,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Centre compartment;Door handles,500-1000,Yes,500-1000,"Yes, I can design on my own",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"Yes, I can design on my own",hooks to hang my drinks from coffee shops that come in a plastic bag
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size,Likely,Wheels;Grilles;Headlights,Steering wheel;Centre compartment;Door handles,under 500,No,under 500,"No, I would need a designer to model my sketch",
20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Door handles,0,Only with professional help,0,"No, I would need a designer to model my sketch",
31-40,Male,Own a car,Married with children,Price;Functionality;Size,Likely,Grilles;Headlights;Side mirrors,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",Petrol is expensive in Singapore. Car that is very fuel efficiency. EV is welcome as well
20-30,Male,"Do not own a car, but planning to purchase in future",Single,,Very likely,Wheels,Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Aesthetics;Size,Very likely,Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics,Very likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Very likely,Grilles;Bumpers,Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","Hook to hold packet drinks , smaller car with sporty look ,affordable(due to COE) but can make many customization, look more like hatchback cars due to small space in singapore.  "
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own",Automated Aircon Temperature  regulator so driver feel comfortable without adjusting temperature  (Singapore is hot driver will lower temperature which is bad for the environment)
41-50,Female,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,No,over 1000,"No, I would need a designer to model my sketch",classic look
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Not likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
41-50,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options,Likely,Wheels;Headlights;Bumpers,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own",Solar Panel included in car to save energy.
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",
51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch",
31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","Bumper and Grilles can be re-designed as ""Sing"" words "
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch",make a custom body kit which is unique 
20-30,Female,Own a car,Married with children,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights,Centre compartment,under 500,No,under 500,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Door handles,500-1000,Only with professional help,under 500,"Yes, I can design on my own",unique color
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Yes,500-1000,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Married with children,Price;Aesthetics;Technological features;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Centre compartment;Door handles;Dashboard,0,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
31-40,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels,Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","compact, cheapest & safety design "
31-40,Male,Own a car,Married with children,Price;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Bumpers,Dashboard,over 1000,Yes,500-1000,"Yes, I can design on my own",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,over 1000,"No, I would need a designer to model my sketch",Can be linked with some brands
